incident_id,date_reported,reported_by,table_name,column_name,issue_type,severity,row_count_affected,description,resolution,status,jira_ticket
INC-2024-0041,2024-01-08,pipeline_monitor,inspection_sites,site_id,DUPLICATE,HIGH,212,"Bulk load from legacy system created duplicate site_ids. Approximately 212 duplicates found after Q4 2023 migration batch.","Manual dedup run by DBA team. 198 resolved, 14 disputed ownership.",PARTIALLY_RESOLVED,DEV-4201
INC-2024-0055,2024-01-22,data_team,inspectors,license_expiry,NULL_VALUE,HIGH,89,"89 inspector records have NULL license_expiry after import from old HR system (PeopleSoft). Cannot determine if license is valid.","Sent to HR for manual verification. 61 updated, 28 still pending.",IN_PROGRESS,DEV-4288
INC-2024-0061,2024-02-03,qa_pipeline,inspection_sites,zone_code,NULL_VALUE,MEDIUM,3420,"zone_code is NULL for all records created before 2022-01-01. Expected as per contract but flagged for awareness.","Accepted as known gap. Contract updated to allow NULL for pre-2022.",CLOSED_ACCEPTED,DEV-4301
INC-2024-0072,2024-02-19,analyst_team,inspection_records,overall_status,INVALID_VALUE,HIGH,34,"34 records found with overall_status = 'PARTIAL' which is not in the allowed values list per contract v1.","PARTIAL added to allowed values in contract v2. Existing records kept.",CLOSED_RESOLVED,DEV-4355
INC-2024-0081,2024-03-05,pipeline_monitor,inspection_records,score,OUT_OF_RANGE,MEDIUM,7,"7 records have score > 100. Maximum allowed is 100.00. Suspected ETL calculation error.","ETL formula fixed. 7 records capped at 100. Root cause was divide-by-zero fallback.",CLOSED_RESOLVED,DEV-4389
INC-2024-0088,2024-03-14,data_team,inspectors,license_expiry,NULL_VALUE,HIGH,28,"Remaining 28 inspectors from INC-2024-0055 still have NULL license_expiry. Some may be actively conducting inspections.","Escalated to HR Director. Temporary hold on new assignments for affected inspectors.",IN_PROGRESS,DEV-4412
INC-2024-0095,2024-03-28,qa_pipeline,inspection_records,report_submitted,FORMAT_INCONSISTENCY,LOW,890,"report_submitted column has mixed casing: Yes/No/yes/no/YES/NO. Pipeline treats all as valid but downstream BI queries fail.","Normalisation job added to ETL. Historical records not cleaned.",CLOSED_RESOLVED,DEV-4445
INC-2024-0102,2024-04-10,analyst_team,inspectors,emp_code,FORMAT_INCONSISTENCY,MEDIUM,156,"156 inspector records have emp_code as plain integers (e.g. 123) instead of EMP-XXXXX format. These are from pre-system records.","Migration script pending. Not yet executed.",OPEN,DEV-4501
INC-2024-0118,2024-05-02,pipeline_monitor,inspection_records,critical_findings,REFERENTIAL_LOGIC,MEDIUM,23,"23 records where critical_findings > findings_count. Logically impossible — critical is a subset of total findings.","Bug in mobile app submit handler. Fixed in app v2.3.1. Historical records flagged.",CLOSED_RESOLVED,DEV-4567
INC-2024-0134,2024-06-15,data_team,inspection_records,followup_deadline,LOGIC_ERROR,LOW,445,"445 records have followup_deadline populated but followup_required = 0. Auto-populate script bug (DEV-4821).","Script fixed. Historical records not corrected — treat as unreliable.",CLOSED_KNOWN_BUG,DEV-4821
INC-2024-0149,2024-07-22,pipeline_monitor,inspection_sites,pincode,FORMAT_INCONSISTENCY,LOW,234,"234 records have pincode with spaces or dashes e.g. '400 001' or '400-001' instead of '400001'.","Normalisation added to ingestion pipeline for new records. Backfill pending.",IN_PROGRESS,DEV-4890
INC-2024-0167,2024-09-03,qa_pipeline,inspection_records,next_due_date,CALCULATION_ERROR,MEDIUM,112,"next_due_date is in the past for 112 active sites. Indicates either inspection is overdue or date was calculated incorrectly.","Investigation ongoing. Some are genuinely overdue, some are calculation errors.",OPEN,DEV-4934
INC-2024-0183,2024-10-18,analyst_team,inspection_records,inspector_id,ORPHAN_REFERENCE,HIGH,18,"18 inspection records reference inspector_id values that do not exist in inspectors table. No FK constraint to catch this.","Orphan records quarantined. Source: manual data entry bypassing the application.","CLOSED_RESOLVED",DEV-4978
INC-2025-0012,2025-01-14,pipeline_monitor,inspection_sites,owner_contact,FORMAT_INCONSISTENCY,LOW,567,"owner_contact mixes phone numbers and email addresses in same column. Downstream systems expect phone only.","Accepted as legacy design. New column owner_email to be added in next release.",OPEN,DEV-5101
